codigo;nome;lote;segmento;capital_reais;antes_h1;antes_h2;antes_h3;antes_h4;antes_h5;antes_resumo;depois_h1;depois_h2;depois_h3;depois_h4;depois_h5;depois_resumo;mudou;motivo;id
"YS0-WFH";"UNIAO ROSCAVEL 1 1/4";"1";"capital_preso";"95.55";"UNIAO ROSCAVEL 1 1/4";"";"";"";"";"UNIAO ROSCAVEL 1 1/4";"UNIAO ROSCAVEL 1 1/4";"1/4";"";"";"";"UNIAO ROSCAVEL 1 1/4 › 1/4";"SIM";"Nome curto + apresentação";"69bd64dd1486242e39726f43"
"ZAF-JZ3";"SERRA MANUAL FLEXIVEL STARRETT";"1";"com_giro";"93.1";"SERRA MANUAL FLEXIVEL STARRETT";"";"";"";"";"SERRA MANUAL FLEXIVEL STARRETT";"SERRA MANUAL FLEXIVEL STARRETT";"AVULSO";"";"";"";"SERRA MANUAL FLEXIVEL STARRETT › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5d0895c422bee4a2540d"
"8MQ-FIS";"PLUG FEMEA 2P + T 10A";"1";"capital_preso";"90.63";"PLUG FEMEA 2P + T 10A";"";"";"";"";"PLUG FEMEA 2P + T 10A";"PLUG FEMEA 2P + T";"AVULSO";"";"";"";"PLUG FEMEA 2P + T › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5cc1352eeca99b975d98"
"YCF-12J";"MASSA CORRIDA (BD 20 KG) HIPERCOR #G";"1";"com_giro";"89.8";"MASSA CORRIDA (BD 20 KG) HIPERCOR #G";"";"";"";"";"MASSA CORRIDA (BD 20 KG) HIPERCOR #G";"MASSA CORRIDA";"20 KG";"";"";"Hipercor";"MASSA CORRIDA › 20 KG › Hipercor";"SIM";"Massa/argamassa: produto + apresentação";"69bd5bfd34a3dad2630143ea"
"Z0E-VUO";"RALO SIMPLES REDONDO - REBOUCAS";"1";"capital_preso";"89.47";"RALO SIMPLES REDONDO - REBOUCAS";"";"";"";"";"RALO SIMPLES REDONDO - REBOUCAS";"RALO SIMPLES REDONDO - REBOUCAS";"AVULSO";"";"";"";"RALO SIMPLES REDONDO - REBOUCAS › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5cd25369da2b252bd8ac"
"H1T-TTY";"TALHADEIRA CHATA 12""";"1";"capital_preso";"87.78";"TALHADEIRA CHATA 12""";"";"";"";"";"TALHADEIRA CHATA 12""";"TALHADEIRA CHATA 12""";"AVULSO";"";"";"";"TALHADEIRA CHATA 12"" › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5d0c25b76c2e65461a56"
"39E-AH5";"REPARO P/REGISTRO";"1";"capital_preso";"84.45";"REPARO P/REGISTRO";"";"";"";"";"REPARO P/REGISTRO";"REGISTRO";"AVULSO";"";"";"";"REGISTRO › AVULSO";"SIM";"Registro + medida";"69bd5cfa3fd49e0dd3e57f22"
"AAO-UL8";"SIFAO BRANCO";"1";"com_giro";"84.32";"SIFAO BRANCO";"";"";"";"";"SIFAO BRANCO";"SIFAO BRANCO";"AVULSO";"";"";"";"SIFAO BRANCO › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5d08aa4091a632d3358f"
"X28-HFD";"TE ESGOTO 50MM";"1";"com_giro";"81.4";"TE ESGOTO 50MM";"";"";"";"";"TE ESGOTO 50MM";"TE ESGOTO";"50 MM";"";"";"";"TE ESGOTO › 50 MM";"SIM";"Conexão hidráulica";"69bd5d1087854e4bffcb283d"
"O0W-QOD";"REGISTRO ESFERA ROSCÁVEL METAL 1""";"1";"capital_preso";"78";"REGISTRO ESFERA ROSCÁVEL METAL 1""";"";"";"";"";"REGISTRO ESFERA ROSCÁVEL METAL 1""";"REGISTRO ESFERA";"AVULSO";"";"";"";"REGISTRO ESFERA › AVULSO";"SIM";"Registro + medida";"69bd5ce8cb1808a299eae6e7"
"YPK-P2E";"TORNEIRA BICA MOV P/ LAVATORIO MESA ABS BRANCA 1 DN15";"1";"capital_preso";"76.68";"TORNEIRA BICA MOV P/ LAVATORIO MESA ABS BRANCA 1 DN15";"";"";"";"";"TORNEIRA BICA MOV P/ LAVATORIO MESA ABS BRANCA 1 DN15";"TORNEIRA P/ LAVATÓRIO";"DN15";"";"";"";"TORNEIRA P/ LAVATÓRIO › DN15";"SIM";"Torneira por uso";"69bd64c885f321ea7552a55f"
"34N-6NP";"PRUMO PAREDE HOBBY RAMADA 3854";"1";"capital_preso";"75";"PRUMO PAREDE HOBBY RAMADA 3854";"";"";"";"";"PRUMO PAREDE HOBBY RAMADA 3854";"PRUMO PAREDE HOBBY RAMADA 3854";"AVULSO";"";"";"";"PRUMO PAREDE HOBBY RAMADA 3854 › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5cce28a4ccff44690317"
"3VQ-C1U";"PINCEL 3";"1";"com_giro";"73.39";"PINCEL 3";"";"";"";"";"PINCEL 3";"PINCEL 3";"AVULSO";"";"";"";"PINCEL 3 › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5c763e4a61b1922ad727"
"BL4-2TI";"TE ESGOTO 75MM";"2";"com_giro";"67.69";"TE ESGOTO 75MM";"";"";"";"";"TE ESGOTO 75MM";"TE ESGOTO";"75 MM";"";"";"";"TE ESGOTO › 75 MM";"SIM";"Conexão hidráulica";"69bd5d111761fd1c2ce2fe27"
"D7Q-QQ2";"SPOT LED AUXILIAR PEQUENO 03W QUAD 3000K";"2";"capital_preso";"65.85";"SPOT LED AUXILIAR PEQUENO 03W QUAD 3000K";"";"";"";"";"SPOT LED AUXILIAR PEQUENO 03W QUAD 3000K";"SPOT LED";"03W 3000K";"";"";"";"SPOT LED › 03W 3000K";"SIM";"Iluminação";"69bd5d0bd909590fec2260f3"
"2VC-08A";"PINTURA ASFALTICA ACQUA 01 L";"2";"com_giro";"65.07";"PINTURA ASFALTICA ACQUA 01 L";"";"";"";"";"PINTURA ASFALTICA ACQUA 01 L";"TINTA ASFÁLTICA";"01 L";"";"";"";"TINTA ASFÁLTICA › 01 L";"SIM";"Tinta/verniz: produto + volume";"69bd5c777192315e0a9465a4"
"58R-TJ7";"TORNEIRA P/LAVATORIO MESA ABS 1/4 VOLTA DN15";"2";"capital_preso";"62.12";"TORNEIRA P/LAVATORIO MESA ABS 1/4 VOLTA DN15";"";"";"";"";"TORNEIRA P/LAVATORIO MESA ABS 1/4 VOLTA DN15";"TORNEIRA P/ LAVATÓRIO";"DN15";"";"";"";"TORNEIRA P/ LAVATÓRIO › DN15";"SIM";"Torneira por uso";"69bd64cf2ae0332312475f83"
"2DD-8PK";"TAPA-FURO DE 50 MM";"2";"capital_preso";"60";"TAPA-FURO DE 50 MM";"";"";"";"";"TAPA-FURO DE 50 MM";"TAPA-FURO 50 MM";"50 MM";"";"";"";"TAPA-FURO 50 MM › 50 MM";"SIM";"Nome curto + apresentação";"69bd5d0df9f85784a0867a49"
"E55-9HQ";"REGISTRO ESFERA ROSCÁVEL INTERNA 1/2";"2";"capital_preso";"57.72";"REGISTRO ESFERA ROSCÁVEL INTERNA 1/2";"";"";"";"";"REGISTRO ESFERA ROSCÁVEL INTERNA 1/2";"REGISTRO ESFERA";"1/2";"";"";"";"REGISTRO ESFERA › 1/2";"SIM";"Registro + medida";"69bd5ce78d7cd347ce1ce563"
"3RK-NAI";"TORNEIRA MAQ/PAREDE CURTA 1/2";"2";"capital_preso";"57.24";"TORNEIRA MAQ/PAREDE CURTA 1/2";"";"";"";"";"TORNEIRA MAQ/PAREDE CURTA 1/2";"TORNEIRA";"1/2";"";"";"";"TORNEIRA › 1/2";"SIM";"Torneira por uso";"69bd64cf6167847f47a04a0d"
"191-IHY";"REGISTRO PRESSAO J2 DN20";"2";"capital_preso";"55.86";"REGISTRO PRESSAO J2 DN20";"";"";"";"";"REGISTRO PRESSAO J2 DN20";"REGISTRO PRESSÃO";"20";"";"";"";"REGISTRO PRESSÃO › 20";"SIM";"Registro + medida";"69bd5ced4f2b7b9f0cfed3f9"
"WO3-P8D";"UNIAO ROSCAVEL 1 1/2";"2";"capital_preso";"51.72";"UNIAO ROSCAVEL 1 1/2";"";"";"";"";"UNIAO ROSCAVEL 1 1/2";"UNIAO ROSCAVEL 1 1/2";"1/2";"";"";"";"UNIAO ROSCAVEL 1 1/2 › 1/2";"SIM";"Nome curto + apresentação";"69bd64dd90ee34ded665dcb2"
"0FQ-TGE";"TORNEIRA BIC MOV P/PIA COZ MESA ABS DN15";"2";"capital_preso";"47.66";"TORNEIRA BIC MOV P/PIA COZ MESA ABS DN15";"";"";"";"";"TORNEIRA BIC MOV P/PIA COZ MESA ABS DN15";"TORNEIRA DE MESA";"DN15";"";"";"";"TORNEIRA DE MESA › DN15";"SIM";"Torneira por uso";"69bd64c72a3d36583d1beea1"
"FP8-JSG";"REGISTRO ESFERA ROSCÁVEL METAL 1 1/2""";"2";"capital_preso";"40";"REGISTRO ESFERA ROSCÁVEL METAL 1 1/2""";"";"";"";"";"REGISTRO ESFERA ROSCÁVEL METAL 1 1/2""";"REGISTRO ESFERA";"1/2";"";"";"";"REGISTRO ESFERA › 1/2";"SIM";"Registro + medida";"69bd5ce842514ebc361e94ac"
"Z97-NPR";"TAPA-FURO DE 32 MM";"2";"capital_preso";"39.84";"TAPA-FURO DE 32 MM";"";"";"";"";"TAPA-FURO DE 32 MM";"TAPA-FURO 32 MM";"32 MM";"";"";"";"TAPA-FURO 32 MM › 32 MM";"SIM";"Nome curto + apresentação";"69bd5d0dd81091420bc2b9df"
"6TE-3PD";"TORNEIRA FILTRO BEBEDOURO";"2";"capital_preso";"36.25";"TORNEIRA FILTRO BEBEDOURO";"";"";"";"";"TORNEIRA FILTRO BEBEDOURO";"TORNEIRA";"AVULSO";"";"";"";"TORNEIRA › AVULSO";"SIM";"Torneira por uso";"69bd64cc1486242e39726f3e"
"TY1-L16";"REGISTRO ESFERA PLASTICO 32MM SOLDAVEL - VEPS132";"2";"capital_preso";"35.1";"REGISTRO ESFERA PLASTICO 32MM SOLDAVEL - VEPS132";"";"";"";"";"REGISTRO ESFERA PLASTICO 32MM SOLDAVEL - VEPS132";"REGISTRO ESFERA";"32MM";"";"";"";"REGISTRO ESFERA › 32MM";"SIM";"Registro + medida";"69bd5ce66be3592380f4d4fc"
"R8S-5V1";"PLACA CEGA 4X2";"2";"capital_preso";"34.8";"PLACA CEGA 4X2";"";"";"";"";"PLACA CEGA 4X2";"PLACA CEGA 4X2";"4X2";"";"";"";"PLACA CEGA 4X2 › 4X2";"SIM";"Nome curto + apresentação";"69bd5cbdec7ae92be0ae1cc0"
"40B-9CN";"PLUG ROSCAVEL 1";"2";"capital_preso";"33.92";"PLUG ROSCAVEL 1";"";"";"";"";"PLUG ROSCAVEL 1";"PLUG ROSCAVEL 1";"AVULSO";"";"";"";"PLUG ROSCAVEL 1 › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5cc17629c31cc64b971a"
"9XM-2JM";"LUVA DE RASPA C/ REFORÇO M/G";"2";"com_giro";"30.81";"LUVA DE RASPA C/ REFORÇO M/G";"";"";"";"";"LUVA DE RASPA C/ REFORÇO M/G";"LUVA RASPA C/ REFORÇO M/G";"AVULSO";"";"";"";"LUVA RASPA C/ REFORÇO M/G › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5bef284b1f6e9ebdc030"
"Z0Z-E1J";"TALHADEIRA CHATA  8""";"2";"capital_preso";"28.62";"TALHADEIRA CHATA  8""";"";"";"";"";"TALHADEIRA CHATA  8""";"TALHADEIRA CHATA 8""";"AVULSO";"";"";"";"TALHADEIRA CHATA 8"" › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5d0c6c6935e83d57d5bf"
"WX2-4P2";"NIPEL ROSCAVEL 3/4";"2";"com_giro";"22.74";"NIPEL ROSCAVEL 3/4";"";"";"";"";"NIPEL ROSCAVEL 3/4";"NIPEL ROSCAVEL 3/4";"3/4";"";"";"";"NIPEL ROSCAVEL 3/4 › 3/4";"SIM";"Nome curto + apresentação";"69bd5c002854443097b34950"
"I11-YNG";"PINCEL 2 1/2";"2";"com_giro";"22.56";"PINCEL 2 1/2";"";"";"";"";"PINCEL 2 1/2";"PINCEL 2 1/2";"1/2";"";"";"";"PINCEL 2 1/2 › 1/2";"SIM";"Nome curto + apresentação";"69bd5c767629c31cc64b96f6"
"XAR-W7A";"PROTETOR AURICULAR";"2";"capital_preso";"22.24";"PROTETOR AURICULAR";"";"";"";"";"PROTETOR AURICULAR";"PROTETOR AURICULAR";"AVULSO";"";"";"";"PROTETOR AURICULAR › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5ccef9f85784a0867a3b"
"7UH-XAA";"MASSA ACRILICA (BD 4 KG) LUX #G";"2";"com_giro";"21.65";"MASSA ACRILICA (BD 4 KG) LUX #G";"";"";"";"";"MASSA ACRILICA (BD 4 KG) LUX #G";"MASSA ACRÍLICA";"4 KG";"";"";"Lux";"MASSA ACRÍLICA › 4 KG › Lux";"SIM";"Massa/argamassa: produto + apresentação";"69bd5bfcbf860f7ebee28094"
"ZQ7-6MQ";"PINCEL 2";"2";"com_giro";"21.31";"PINCEL 2";"";"";"";"";"PINCEL 2";"PINCEL 2";"AVULSO";"";"";"";"PINCEL 2 › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5c76ceb2e144a6dd505e"
"QO0-PW5";"TE ESGOTO 40MM";"2";"com_giro";"19.75";"TE ESGOTO 40MM";"";"";"";"";"TE ESGOTO 40MM";"TE ESGOTO";"40 MM";"";"";"";"TE ESGOTO › 40 MM";"SIM";"Conexão hidráulica";"69bd5d103c08ae64280b3245"
"3AM-Z6L";"PINCEL 1 1/2";"2";"com_giro";"17.47";"PINCEL 1 1/2";"";"";"";"";"PINCEL 1 1/2";"PINCEL 1 1/2";"1/2";"";"";"";"PINCEL 1 1/2 › 1/2";"SIM";"Nome curto + apresentação";"69bd5c758cccaf952976306d"
"BJU-Y8R";"PRUMO HOBBY DE CENTRO 300G";"2";"com_giro";"14.93";"PRUMO HOBBY DE CENTRO 300G";"";"";"";"";"PRUMO HOBBY DE CENTRO 300G";"PRUMO HOBBY CENTRO 300G";"AVULSO";"";"";"";"PRUMO HOBBY CENTRO 300G › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5cce4d6b84908c108282"
"190-S7N";"PINCEL 1";"2";"com_giro";"11.96";"PINCEL 1";"";"";"";"";"PINCEL 1";"PINCEL 1";"AVULSO";"";"";"";"PINCEL 1 › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5c75e7a40929476b4c12"
"W70-3U1";"SPOT LED AUXILIAR GRANDE 06W RED 3000K";"2";"capital_preso";"10.52";"SPOT LED AUXILIAR GRANDE 06W RED 3000K";"";"";"";"";"SPOT LED AUXILIAR GRANDE 06W RED 3000K";"SPOT LED";"06W 3000K";"";"";"";"SPOT LED › 06W 3000K";"SIM";"Iluminação";"69bd5d0b7ea24333d4a73f62"
"FF6-WZ9";"REGISTRO ESFERA PLASTICO 20MM SOLDAVEL - VEPS120";"2";"com_giro";"5.01";"REGISTRO ESFERA PLASTICO 20MM SOLDAVEL - VEPS120";"";"";"";"";"REGISTRO ESFERA PLASTICO 20MM SOLDAVEL - VEPS120";"REGISTRO ESFERA";"20MM";"";"";"";"REGISTRO ESFERA › 20MM";"SIM";"Registro + medida";"69bd5ce5fa174af976f2e01b"
"HO6-RZ8";"NIPEL ROSCAVEL 1 1/2";"2";"capital_preso";"3.5";"NIPEL ROSCAVEL 1 1/2";"";"";"";"";"NIPEL ROSCAVEL 1 1/2";"NIPEL ROSCAVEL 1 1/2";"1/2";"";"";"";"NIPEL ROSCAVEL 1 1/2 › 1/2";"SIM";"Nome curto + apresentação";"69bd5c006a62aaef4d8d02e7"
"H05-FSM";"NIPEL ROSCAVEL 1";"2";"capital_preso";"1.56";"NIPEL ROSCAVEL 1";"";"";"";"";"NIPEL ROSCAVEL 1";"NIPEL ROSCAVEL 1";"AVULSO";"";"";"";"NIPEL ROSCAVEL 1 › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5bffc4264c6792f3dad4"
"BW8-DQR";"ANEL DE VEDAÇÃO P/ VASO SANITÁRIO";"2";"sem_giro";"0";"ANEL DE VEDAÇÃO P/ VASO SANITÁRIO";"";"";"";"";"ANEL DE VEDAÇÃO P/ VASO SANITÁRIO";"ANEL VEDAÇÃO VASO SANITÁRIO";"AVULSO";"";"";"";"ANEL VEDAÇÃO VASO SANITÁRIO › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5b590db823c808e6bfb6"
"NPH-H9H";"BOCA DE LOBO";"2";"sem_giro";"0";"BOCA DE LOBO";"";"";"";"";"BOCA DE LOBO";"BOCA LOBO";"AVULSO";"";"";"";"BOCA LOBO › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5b6467070f30af8005a4"
"GI2-CPP";"CAIXA DE";"2";"sem_giro";"0";"CAIXA DE";"";"";"";"";"CAIXA DE";"CAIXA";"AVULSO";"";"";"";"CAIXA › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5b73f9f85784a08678b6"
"H9D-I9B";"CAIXA DE STOP P/AR CONDICIONADO";"2";"sem_giro";"0";"CAIXA DE STOP P/AR CONDICIONADO";"";"";"";"";"CAIXA DE STOP P/AR CONDICIONADO";"CAIXA STOP P/AR CONDICIONADO";"AVULSO";"";"";"";"CAIXA STOP P/AR CONDICIONADO › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5b74cb1808a299eae62e"
"7RL-R5W";"CERAMICA A";"2";"sem_giro";"0";"CERAMICA A";"";"";"";"";"CERAMICA A";"CERAMICA";"AVULSO";"";"";"";"CERAMICA › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5b7cf31432859f1ddeb1"
"T9I-93U";"CHUVEIRO PVC COM REGISTRO";"2";"sem_giro";"0";"CHUVEIRO PVC COM REGISTRO";"";"";"";"";"CHUVEIRO PVC COM REGISTRO";"REGISTRO";"AVULSO";"";"";"";"REGISTRO › AVULSO";"SIM";"Registro + medida";"69bd5b838bb0c313a07e7819"
"DNG-4E9";"CINTO PARA FERRAMENTAS";"2";"sem_giro";"0";"CINTO PARA FERRAMENTAS";"";"";"";"";"CINTO PARA FERRAMENTAS";"CINTO FERRAMENTAS";"AVULSO";"";"";"";"CINTO FERRAMENTAS › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5b85acdba24b89ed770a"
"R73-8OF";"CONJUNTO FIXAÇÃO P";"2";"sem_giro";"0";"CONJUNTO FIXAÇÃO P";"";"";"";"";"CONJUNTO FIXAÇÃO P";"CONJUNTO FIXAÇÃO P";"AVULSO";"";"";"";"CONJUNTO FIXAÇÃO P › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5b8dffbc3b215d2273c4"
"T6T-JOG";"CUNHA P/ ESPAÇADOR NIVELAMENTO (50PÇS)";"2";"sem_giro";"0";"CUNHA P/ ESPAÇADOR NIVELAMENTO (50PÇS)";"";"";"";"";"CUNHA P/ ESPAÇADOR NIVELAMENTO (50PÇS)";"CUNHA ESPAÇADOR NIVELAMENTO (50PÇS)";"AVULSO";"";"";"";"CUNHA ESPAÇADOR NIVELAMENTO (50PÇS) › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5b99fa325ae7d0a12632"
"0L5-XFC";"DISCO DE CORTE P/ AÇO INOX 04,5 X 1/8""";"2";"sem_giro";"0";"DISCO DE CORTE P/ AÇO INOX 04,5 X 1/8""";"";"";"";"";"DISCO DE CORTE P/ AÇO INOX 04,5 X 1/8""";"DISCO CORTE AÇO INOX 04,5";"5 X 1";"";"";"";"DISCO CORTE AÇO INOX 04,5 › 5 X 1";"SIM";"Nome curto + apresentação";"69bd5b9f56e7bf87067bd30f"
"EHU-HA8";"DISCO DE CORTE P/ FERRO 04,5 X 1/8 X 7/8";"2";"sem_giro";"0";"DISCO DE CORTE P/ FERRO 04,5 X 1/8 X 7/8";"";"";"";"";"DISCO DE CORTE P/ FERRO 04,5 X 1/8 X 7/8";"DISCO CORTE FERRO 04,5 X";"5 X 1";"";"";"";"DISCO CORTE FERRO 04,5 X › 5 X 1";"SIM";"Nome curto + apresentação";"69bd5ba01df8ada1a7d17c26"
"RXO-TL7";"DISCO DE CORTE P/ FERRO 07,0 X 1/8 X 7/8";"2";"sem_giro";"0";"DISCO DE CORTE P/ FERRO 07,0 X 1/8 X 7/8";"";"";"";"";"DISCO DE CORTE P/ FERRO 07,0 X 1/8 X 7/8";"DISCO CORTE FERRO 07,0 X";"0 X 1";"";"";"";"DISCO CORTE FERRO 07,0 X › 0 X 1";"SIM";"Nome curto + apresentação";"69bd5ba0d41e7850dc5380ef"
"P9H-7PB";"DISCO DE DESBASTE 7""";"2";"sem_giro";"0";"DISCO DE DESBASTE";"";"7""";"";"";"DISCO DE DESBASTE › 7""";"DISCO DESBASTE 7""";"AVULSO";"";"";"";"DISCO DESBASTE 7"" › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5ba0487a808fb2c61069"
"EMZ-7RR";"ESTILETE";"2";"sem_giro";"0";"ESTILETE";"";"";"";"";"ESTILETE";"ESTILETE";"AVULSO";"";"";"";"ESTILETE › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5bb08d7cd347ce1ce43e"
"6SR-F2F";"FERRO DE COVA";"2";"sem_giro";"0";"FERRO DE COVA";"";"";"";"";"FERRO DE COVA";"FERRO COVA";"AVULSO";"";"";"";"FERRO COVA › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5bb5bdd2cd22f90dbebd"
"V61-Y2Z";"FRETE";"2";"sem_giro";"0";"FRETE";"";"";"";"";"FRETE";"FRETE";"AVULSO";"";"";"";"FRETE › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5bc033c9a3ccb19bffe1"
"2FZ-SBM";"ISOLADOR TIPO ROLDANA 72 X 72MM";"2";"sem_giro";"0";"ISOLADOR TIPO ROLDANA 72 X 72MM";"";"";"";"";"ISOLADOR TIPO ROLDANA 72 X 72MM";"ISOLADOR TIPO ROLDANA 72 X";"72MM";"";"";"";"ISOLADOR TIPO ROLDANA 72 X › 72MM";"SIM";"Nome curto + apresentação";"69bd5bc67992803e2e832268"
"GCE-8D1";"KIT P/ PINTURA BANDEJA+CABO+ROLO";"2";"sem_giro";"0";"KIT P/ PINTURA BANDEJA+CABO+ROLO";"";"";"";"";"KIT P/ PINTURA BANDEJA+CABO+ROLO";"KIT PINTURA BANDEJA+CABO+ROLO";"AVULSO";"";"";"";"KIT PINTURA BANDEJA+CABO+ROLO › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5bd577da669a446e5f40"
"A33-5XE";"LIMA TRIANGULAR P/ SERROTE";"2";"sem_giro";"0";"LIMA TRIANGULAR P/ SERROTE";"";"";"";"";"LIMA TRIANGULAR P/ SERROTE";"LIMA TRIANGULAR SERROTE";"AVULSO";"";"";"";"LIMA TRIANGULAR SERROTE › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5bdb715b2ab3f2178372"
"JB9-55T";"LIMPADOR DE REJUNTE DIÁRIO QUARTZOLIT 500 ML";"2";"sem_giro";"0";"LIMPADOR DE REJUNTE DIÁRIO QUARTZOLIT 500 ML";"";"";"";"";"LIMPADOR DE REJUNTE DIÁRIO QUARTZOLIT 500 ML";"LIMPADOR REJUNTE DIÁRIO QUARTZOLIT 500";"500 ML";"";"";"Quartzolit";"LIMPADOR REJUNTE DIÁRIO QUARTZOLIT 500 › 500 ML › Quartzolit";"SIM";"Nome curto + apresentação";"69bd5bdb4d3de4c8e9865c01"
"WB7-OXF";"LINHA DE PEDREIRO- UNIFIO 100M";"2";"sem_giro";"0";"LINHA DE PEDREIRO- UNIFIO 100M";"";"";"";"";"LINHA DE PEDREIRO- UNIFIO 100M";"LINHA PEDREIRO- UNIFIO 100M";"100M";"";"";"";"LINHA PEDREIRO- UNIFIO 100M › 100M";"SIM";"Nome curto + apresentação";"69bd5bdc189f8a985663d8ca"
"Q4X-OJI";"LUBRIFICANTE A SECO GRAFITE CHEMICOLOR";"2";"sem_giro";"0";"LUBRIFICANTE A SECO GRAFITE CHEMICOLOR";"";"";"";"";"LUBRIFICANTE A SECO GRAFITE CHEMICOLOR";"LUBRIFICANTE SECO GRAFITE CHEMICOLOR";"AVULSO";"";"";"";"LUBRIFICANTE SECO GRAFITE CHEMICOLOR › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5be9e06899df1726bfcf"
"A6R-ELC";"MACHADO";"2";"sem_giro";"0";"MACHADO";"";"";"";"";"MACHADO";"MACHADO";"AVULSO";"";"";"";"MACHADO › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5bf87629c31cc64b9694"
"W1X-SW3";"MANGUEIRA CRISTAL DE NIVEL 1/4";"2";"sem_giro";"0";"MANGUEIRA CRISTAL DE NIVEL 1/4";"";"";"";"";"MANGUEIRA CRISTAL DE NIVEL 1/4";"MANGUEIRA CRISTAL NIVEL 1/4";"1/4";"";"";"";"MANGUEIRA CRISTAL NIVEL 1/4 › 1/4";"SIM";"Nome curto + apresentação";"69bd5bf86c31ed142ee14e1a"
"9PZ-G3O";"MANGUEIRA P/ MAQUINA DE LAVAR 1,40M";"2";"sem_giro";"0";"MANGUEIRA P/ MAQUINA DE LAVAR 1,40M";"";"";"";"";"MANGUEIRA P/ MAQUINA DE LAVAR 1,40M";"MANGUEIRA MAQUINA LAVAR 1,40M";"40M";"";"";"";"MANGUEIRA MAQUINA LAVAR 1,40M › 40M";"SIM";"Nome curto + apresentação";"69bd5bf8b5e7dcd0aa7dfd65"
"FP5-V05";"MANTA LÍQUIDA BRANCA 4,5KG QUARTZOLIT - GL";"2";"sem_giro";"0";"MANTA LÍQUIDA BRANCA 4,5KG QUARTZOLIT - GL";"";"";"";"";"MANTA LÍQUIDA BRANCA 4,5KG QUARTZOLIT - GL";"MANTA LÍQUIDA";"5 KG";"";"";"Quartzolit";"MANTA LÍQUIDA › 5 KG › Quartzolit";"SIM";"Massa/argamassa: produto + apresentação";"69bd5bf88c0c5d3b33cd48b2"
"016-94X";"MARRETA OITAVADA 1,50KG C/CABO";"2";"sem_giro";"0";"MARRETA OITAVADA 1,50KG C/CABO";"";"";"";"";"MARRETA OITAVADA 1,50KG C/CABO";"MARRETA OITAVADA 1,50KG C/CABO";"1,50KG";"";"";"";"MARRETA OITAVADA 1,50KG C/CABO › 1,50KG";"SIM";"Nome curto + apresentação";"69bd5bf9e3bd727a89dc33ee"
"F99-KB2";"MARRETA OITAVADA 3KG C/CABO MOMFORT";"2";"sem_giro";"0";"MARRETA OITAVADA 3KG C/CABO MOMFORT";"";"";"";"";"MARRETA OITAVADA 3KG C/CABO MOMFORT";"MARRETA OITAVADA 3KG C/CABO MOMFORT";"3KG";"";"";"";"MARRETA OITAVADA 3KG C/CABO MOMFORT › 3KG";"SIM";"Nome curto + apresentação";"69bd5bf9e67851c9658b206d"
"0AL-8O3";"MASSA ACRILICA (BD 20 KG) LUX #G";"2";"sem_giro";"0";"MASSA ACRILICA (BD 20 KG) LUX #G";"";"";"";"";"MASSA ACRILICA (BD 20 KG) LUX #G";"MASSA ACRÍLICA";"20 KG";"";"";"Lux";"MASSA ACRÍLICA › 20 KG › Lux";"SIM";"Massa/argamassa: produto + apresentação";"69bd5bfb5f5de9971779c546"
"65D-NS3";"MASSA ASFALTICA - GL";"2";"sem_giro";"0";"MASSA ASFALTICA - GL";"";"";"";"";"MASSA ASFALTICA - GL";"MASSA ASFÁLTICA";"GL";"";"";"";"MASSA ASFÁLTICA › GL";"SIM";"Massa/argamassa: produto + apresentação";"69bd5bfc8dcd35afa99ad37e"
